id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
204,14,山本喜晴,ヤマモトヨシハル,,,,,,,,,,,,,,,,,,,,,
205,14,三根俊晃,ミネトシアキ,,,,,,,,,,,,,,,,,,,,,
206,14,松村心大朗,マツムラシンタロウ,,,,,,,,,,,,,,,,,,,,,
207,14,斎藤昴寿,サイトウコウジュ,,,,,,,,,,,,,,,,,,,,,
208,14,津口木里,ツグチキリ,,,,,,,,,,,,,,,,,,,,,
209,14,赤司琴子,アカシコトコ,,,,,,,,,,,,,,,,,,,,,
210,14,本柳亜呼,モトヤナギアコ,,,,,,,,,,,,,,,,,,,,,
211,14,竹下奈菜,タケシタナナ,,,,,,,,,,,,,,,,,,,,,
212,14,栗木希美,クリキノゾミ,,,,,,,,,,,,,,,,,,,,,
213,15,三木康亮,ミキコウスケ,,22,1,,,,29,1,,,,,,,,,,,,,
214,15,水野谷天建,ミズノヤテンタ,,23,2,,,,30,2,,,,,,,,,,,,,
215,15,津久井麻央,ツクイマオ,,,,,,,,,,,,,,,,,24,1,,,
216,15,芝田亜紗実,シバタアサミ,,,,,,,,,,,,,,,,,,,,,
217,15,山崎紗礼,ヤマザキサアヤ,,,,,,,,,,,,,,,,,25,2,,,
218,15,小笠原祐里,オガサワラユリ,,,,,,,,,,,,,,,,,26,3,,,
219,15,八須和菜,ハチスカズナ,,,,,,,,,,,,,,,,,,,,,
220,15,榎本耕己,エノモトコウキ,,,,,,,31,3,,,,,,,,,,,,,
221,15,原田光一郎,ハラダコウイチロウ,,24,3,,,,,,,,,,,,,,,,,,
222,33,坂本習成,サカモトシュウナ,,,,,,,32,1,,,,,,,,,,,,,
223,34,細野凪沙,ホソノナギサ,,,,,,,,,,,,15,1,,,,27,3,,,
224,34,河邊美月,カワベミヅキ,,,,,,,,,,,,,,,,,28,1,,,
225,34,奥宮百合子,オクミヤユリコ,,,,,,,,,,,,,,,,,29,2,,,
226,34,櫻井潤,サクライジュン,,,,,,,33,1,,,,,,,,,,,,,
227,17,田中陸功,タナカリク,,,,,,,34,1,,,,,,,,,,,,,
228,17,川原智博,カワハラトモヒロ,,,,,,,35,2,,,,,,,,,,,,,
229,17,安田甲士郎,ヤスダコウシロウ,,,,,,,36,3,,,,,,,,,,,,,
230,17,鈴木龍也,スズキリュウヤ,,25,1,,,,,,,,,,,,,,,,,,
231,17,鷲津匠哉,ワシズタクヤ,,26,2,,,,,,,,,,,,,,,,,,
232,17,水越優太,ミズコシユウタ,,27,3,,,,,,,,,,,,,,,,,,
233,17,小坂眞生,コサカマサキ,,,,,,,,,,,,,,,,,30,1,,4,2025学生大会ベスト8、 2026城西大会3位、 2026城南大会3位
234,17,横田亜依,ヨコタアイ,,,,,,,,,,,,,,,,,31,2,,,
235,17,長沼有咲,ナガヌマアリサ,,,,,,,,,,,,,,,,,32,3,,,
236,17,鈴木彩花,スズキアヤカ,,,,,,,,,,,,16,2,,,,,,,,
237,17,後藤美紗樹,ゴトウミサキ,,,,,,,,,,,,17,3,,,,,,,,
238,17,伊東里紗,イトウリサ,,,,,,,,,,,,18,1,,,,,,,,
239,17,佐藤美怜,サトウミレイ,,,,,,,,,,,,19,,3,2,2025学生大会個人実戦3位、 2025城南大会個人実戦3位、 2026城西大会個人実戦2位,,,,,
240,17,丹みなみ,タンミナミ,,,,,,,,,,,,,,,,,,,,,
241,17,加藤里菜子,カトウリナコ,,,,,,,,,,,,,,,,,,,,,
242,17,佐々木由栞,ササキユリ,,,,,,,,,,,,,,,,,,,,,
243,17,福田悠介,フクダユウスケ,,,,,,,,,,,,,,,,,,,,,
244,17,塚越裕斗,ツカゴシヒロト,,,,,,,,,,,,,,,,,,,,,
245,17,齋藤貴啓,サイトウタカヒロ,,,,,,,,,,,,,,,,,,,,,
246,17,稲垣和真,イナガキカズマ,,,,,,,,,,,,,,,,,,,,,
247,17,立木遥大,タチキハルト,,,,,,,,,,,,,,,,,,,,,
248,17,市川翔大,イチカワショウダイ,,,,,,,,,,,,,,,,,,,,,
249,17,永久元,ナガヒサゲン,,,,,,,,,,,,,,,,,,,,,
250,17,荻原康太,オギハラコウタ,,,,,,,,,,,,,,,,,,,,,
251,17,佐野由夏,サノユカ,,,,,,,,,,,,,,,,,,,,,
252,17,権藤ちひろ,ゴンドウチヒロ,,,,,,,,,,,,,,,,,,,,,
253,17,小林栞奈,コバヤシカンナ,,,,,,,,,,,,,,,,,,,,,
254,17,友野真綸,トモノマリン,,,,,,,,,,,,,,,,,,,,,
255,17,神田咲希,カンダサキ,,,,,,,,,,,,,,,,,,,,,
256,35,田中来夢,タナカライム,,,,,,,37,1,,,,,,,,,,,,,
257,35,作山実希,サクヤマミキ,,,,,,,,,,,,,,,,,33,1,,,
258,20,翁長武志,オナガタケシ,,28,1,,3,R8城西 個人実戦3位,38,1,,,,,,,,,,,,,
259,20,東花奈,アズマカナ,,,,,,,,,,,,,,,,,34,3,,,
260,20,安井柚末希,ヤスイユズキ,,,,,,,,,,,,,,,,,,,,,
261,20,生方穂乃花,ウブカタホノカ,,,,,,,,,,,,,,,,,35,1,,2,R7城南 個法４位、 R7学生大会 法形ベスト８
262,20,戸川さくら,トガワサクラ,,,,,,,,,,,,,,,,,36,2,,,
263,20,佐々木南,ササキミナミ,,,,,,,,,,,,,,,,,,,,,
264,20,石井菜々,イシイナナ,,,,,,,,,,,,20,1,,,,,,,,
265,20,新崎桂也,アラサキヨシヤ,,,,,,,,,,,,,,,,,,,,,
266,20,小林優太,コバヤシユウタ,,,,,,,39,3,,,,,,,,,,,,,
267,20,土谷悠斗,ツチヤユウト,,,,,,,40,2,,,,,,,,,,,,,
268,20,永野泰成,ナガノタイセイ,,,,,,,,,,,,,,,,,,,,,
269,20,西村彩郁璃,ニシムラアイリ,,,,,,,,,,,,,,,,,,,,,
270,20,森知憲,モリトモアキ,,,,,,,,,,,,,,,,,,,,,
271,20,米川穂南,ヨネカワホナミ,,,,,,,,,,,,,,,,,,,,,
272,20,高橋花凛,タカハシカリン,,,,,,,,,,,,,,,,,,,,,
273,20,萩原千絢,ハギワラチヒロ,,,,,,,,,,,,,,,,,,,,,
274,20,林優里奈,ハヤシユリナ,,,,,,,,,,,,,,,,,,,,,
275,20,山田咲那,ヤマダサナ,,,,,,,,,,,,,,,,,,,,,
276,20,青木菫,アオキスミレ,,,,,,,,,,,,,,,,,,,,,
277,20,中川凛大,ナカガワリンダイ,,,,,,,,,,,,,,,,,,,,,
278,20,瀧野真里花,タキノマリカ,,,,,,,,,,,,,,,,,,,,,
279,20,古屋茉莉,フルヤマリ,,,,,,,,,,,,,,,,,,,,,
280,20,田中志歩,タナカシホ,,,,,,,,,,,,,,,,,,,,,
281,20,星野紗佳,ホシノサヤカ,,,,,,,,,,,,,,,,,,,,,
282,20,渡邉光,ワタナベテル,,,,,,,,,,,,,,,,,,,,,
283,20,大山健太朗,オオヤマケンタロウ,,,,,,,,,,,,,,,,,,,,,
284,21,中村智貴,ナカムラトモキ,,,,,,,41,1,,8,R8関東中部躰道優勝大会男子段位個人法形３位,,,,,,,,,,
285,21,小島瑞生,コジマミズキ,,,,,,,,,,,,,,,,,,,,,
286,21,山﨑勇英,ヤマザキユウエイ,,29,2,,,,,,,,,,,,,,,,,,
